fid,Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
2089,"1358504",,Croatia,Europe,SWBD,"1","0",0.860000000000000,5.010000000000000,1.520000000000000,2.610000000000000,0.000000000000000,"3",3.000000000000000,0.332000000000000,91.000000000000000,"94",1.150000000000000,34.700000000000003,16.832294000000001,45.422519000000001
2090,"1358510",,Croatia,Europe,SWBD,"1","0",0.100000000000000,1.660000000000000,1.520000000000000,0.310000000000000,0.000000000000000,"3",3.300000000000000,0.060000000000000,60.399999999999999,"149",2.750000000000000,6.800000000000000,17.146875000000001,45.421590999999999
2091,"1358521",,Italy,Europe,SWBD,"1","0",0.280000000000000,4.840000000000000,2.590000000000000,0.580000000000000,0.000000000000000,"3",2.100000000000000,100.897999999999996,0.100000000000000,"220",0.780000000000000,3430.599999999999909,7.912920000000000,45.420648000000000
2092,"1358572",,Croatia,Europe,SWBD,"1","0",0.160000000000000,2.040000000000000,1.420000000000000,0.350000000000000,0.000000000000000,"3",2.100000000000000,0.010000000000000,402.000000000000000,"-2",0.940000000000000,0.500000000000000,13.522823000000001,45.412137000000001
2093,"1358602",,Italy,Europe,SWBD,"1","0",0.150000000000000,2.020000000000000,1.490000000000000,0.350000000000000,0.000000000000000,"3",2.400000000000000,1.243000000000000,3.300000000000000,"83",1.240000000000000,75.200000000000003,10.315548000000000,45.406073999999997
2094,"1358610",,Italy,Europe,SWBD,"1","0",0.260000000000000,2.290000000000000,1.260000000000000,0.360000000000000,0.000000000000000,"3",1.400000000000000,0.014000000000000,300.399999999999977,"-2",0.330000000000000,1.200000000000000,12.246874999999999,45.404522999999998
2095,"1358614",,Italy,Europe,SWBD,"1","0",0.100000000000000,1.630000000000000,1.440000000000000,0.240000000000000,0.000000000000000,"3",2.300000000000000,0.007000000000000,390.000000000000000,"28",1.290000000000000,0.600000000000000,11.115361000000000,45.403753999999999
2096,"1358623",,Italy,Europe,SWBD,"1","0",0.170000000000000,2.740000000000000,1.850000000000000,0.390000000000000,0.000000000000000,"3",2.200000000000000,0.010000000000000,446.399999999999977,"22",1.000000000000000,0.900000000000000,11.236458000000001,45.401876999999999
2097,"1358634",,Italy,Europe,SWBD,"1","0",0.340000000000000,3.250000000000000,1.560000000000000,0.470000000000000,0.000000000000000,"3",1.400000000000000,8.042000000000000,0.700000000000000,"107",0.300000000000000,258.699999999999989,9.075144000000000,45.399487999999998
2098,"1358641",,Italy,Europe,SWBD,"1","0",0.130000000000000,1.520000000000000,1.170000000000000,0.150000000000000,0.000000000000000,"3",1.100000000000000,8.042000000000000,0.200000000000000,"106",0.280000000000000,258.699999999999989,9.078272000000000,45.398463999999997
2099,"1358642",,Italy,Europe,SWBD,"1","0",0.190000000000000,1.790000000000000,1.160000000000000,0.190000000000000,0.000000000000000,"3",1.000000000000000,0.057000000000000,39.299999999999997,"106",0.190000000000000,2.400000000000000,9.110286000000000,45.398032000000001
2100,"1358663",,Italy,Europe,SWBD,"1","0",0.220000000000000,2.580000000000000,1.560000000000000,0.280000000000000,0.000000000000000,"3",1.300000000000000,0.025000000000000,129.900000000000006,"-4",0.300000000000000,2.100000000000000,12.186178000000000,45.394140999999998
2101,"1358681",,Italy,Europe,SWBD,"1","0",0.150000000000000,1.550000000000000,1.110000000000000,0.150000000000000,0.000000000000000,"3",1.000000000000000,0.053000000000000,33.799999999999997,"-4",0.200000000000000,4.500000000000000,12.176384000000001,45.390607000000003
2102,"1358683",,Croatia,Europe,SWBD,"1","0",0.770000000000000,7.870000000000000,2.530000000000000,5.580000000000000,0.000000000000000,"3",7.200000000000000,0.148000000000000,436.000000000000000,"146",7.260000000000000,21.899999999999999,18.189582999999999,45.390127999999997
2103,"1358701",,Croatia,Europe,SWBD,"1","0",0.110000000000000,2.440000000000000,2.060000000000000,0.140000000000000,0.000000000000000,"3",1.300000000000000,0.023000000000000,72.099999999999994,"91",0.370000000000000,2.300000000000000,16.635999999999999,45.385063000000002
2104,"1358708",,Italy,Europe,SWBD,"1","0",0.140000000000000,1.790000000000000,1.330000000000000,0.150000000000000,0.000000000000000,"3",1.100000000000000,0.005000000000000,353.300000000000011,"-3",0.230000000000000,0.500000000000000,12.241174000000001,45.384419000000001
2105,"1358711",,France,Europe,SWBD,"1","0",0.560000000000000,3.080000000000000,1.160000000000000,4.500000000000000,0.000000000000000,"3",8.000000000000000,0.190000000000000,273.899999999999977,"495",9.930000000000000,11.300000000000001,6.067268000000000,45.383972000000000
2106,"1358714",,Italy,Europe,SWBD,"1","0",0.190000000000000,1.830000000000000,1.170000000000000,0.200000000000000,0.000000000000000,"3",1.000000000000000,0.003000000000000,753.299999999999955,"-2",0.190000000000000,0.300000000000000,12.214506999999999,45.383471999999998
2107,"1358735",,France,Europe,SWBD,"1","0",0.480000000000000,3.310000000000000,1.350000000000000,0.740000000000000,0.000000000000000,"3",1.500000000000000,80.700999999999993,0.100000000000000,"244",0.340000000000000,5287.600000000000364,5.985417000000000,45.378314000000003
