Depth Magnetic Susceptibility  (cm),Magnetic Susceptibility (SI x 10^-5),Depth Density (cm),Density (g/cm^3)
1096.2,3.1,,
1096.4,3.2,,
1096.6,3,,
1096.8,3,,
1097,3,,
1097.2,3.2,,
1097.4,3.2,,
1097.6,3.9,,
1097.8,4.2,,
1098,4.5,,
1098.2,4.5,,
1098.4,4.4,,
1098.6,4.1,,
1098.8,3.7,,
1099,3.5,,
1099.2,3.9,,
1099.4,4,,
1099.6,4,,
1099.8,4.2,,
1100,4.4,,
1100.2,4.5,,
1100.4,4.2,,
1100.6,3.8,,
1100.8,3.7,,
1101,3.9,,
1101.2,4.1,,
1101.4,4,,
1101.6,3.5,,
1101.8,2.6,,
1102,1.9,,
1102.2,2.3,,
1102.4,2.8,,
1102.6,2.9,,
1102.8,2.6,,
1103,2.8,,
1103.2,3.6,,
1103.4,3.7,,
1103.6,3.8,,
1103.8,4.1,,
1104,4.6,,
1104.2,4.9,,
1104.4,4.6,,
1104.6,4.2,,
1104.8,3.9,,
1105,3.5,,
1105.2,3.4,,
1105.4,3.6,,
1105.6,3.7,,
1105.8,3.8,,
1106,3.8,,
1106.2,4.1,,
1106.4,4.2,,
1106.6,4.2,,
1106.8,3.9,,
1107,3.2,,
1107.2,2.8,,
1107.4,3.2,,
1107.6,4.2,,
1107.8,4.4,,
1108,4.4,,
1108.2,4.6,,
1108.4,4.8,,
1108.6,4.6,,
1108.8,4.1,,
1109,3.9,,
1109.2,4,,
1109.4,3.9,,
1109.6,4.2,,
1109.8,4,,
1110,3.7,,
1110.2,3.3,,
1110.4,3.7,,
1110.6,4.2,,
1110.8,4.4,,
1111,4.4,,
1111.2,4.2,,
1111.4,4.4,,
1111.6,4.7,,
1111.8,4.9,,
1112,4.8,,
1112.2,4.6,,
1112.4,4.1,,
1112.6,4,,
1112.8,3.50,,
1113,3.00,,
1113.2,2.40,,
1113.4,2.40,,
1113.6,2.90,,
1113.8,3.40,,
1114,4.00,,
1114.2,4.00,,
1114.4,4.10,,
1114.6,4.40,,
1114.8,4.60,,
1115,4.60,,
1115.2,4.60,,
1115.4,4.70,,
1115.6,4.40,,
1115.8,3.60,,
1116,3.10,,
1116.2,3.00,,
1116.4,3.00,,
1116.6,3.10,,
1116.8,3.50,,
1117,3.80,,
1117.2,4.00,,
1117.4,4.20,,
1117.6,4.60,,
1117.8,4.60,,
1118,4.40,,
1118.2,4.10,,
1118.4,3.60,,
1118.6,3.00,,
1118.8,2.80,,
1119,2.80,,
1119.2,2.90,,
1119.4,3.20,,
1119.6,3.50,,
1119.8,3.80,,
1120,3.70,,
1120.2,3.90,,
1120.4,3.90,,
1120.6,3.80,,
1120.8,3.40,,
1121,2.90,,
1121.2,2.60,,
1121.4,2.30,,
1121.6,2.40,,
1121.8,2.70,,
1122,3.00,,
1122.2,3.00,,
1122.4,2.60,,
1122.6,2.10,,
1122.8,2.00,,
1123,1.70,,
1123.2,1.70,,
1123.4,1.80,,
1123.6,1.70,,
1123.8,1.80,,
1124,1.90,,
1124.2,2.10,,
1124.4,2.30,,
1124.6,2.50,,
1124.8,2.40,,
1125,2.30,,
1125.2,2.30,,
1125.4,2.40,,
1125.6,2.30,,
1125.8,2.40,,
1126,2.80,,
1126.2,3.80,,
1126.4,4.80,,
1126.6,4.20,,
1126.8,2.90,,
1127,2.40,,
1127.2,1.90,,
1127.4,1.70,,
1127.6,1.60,,
1127.8,1.50,,
1128,1.80,,
1128.2,1.80,,
1128.4,1.80,,
1128.6,2.10,,
1128.8,2.10,,
1129,2.20,,
1129.2,2.40,,
1129.4,2.80,,
1129.6,3.20,,
1129.8,3.50,,
1130,3.40,,
1130.2,3.00,,
1130.4,2.60,,
1130.6,2.50,,
1130.8,2.40,,
1131,2.60,,
1131.2,2.50,,
1131.4,2.80,,
1131.6,3.20,,
1131.8,3.20,,
1132,3.00,,
1132.2,2.70,,
1132.4,2.60,,
1132.6,2.60,,
1132.8,2.80,,
1133,2.70,,
1133.2,2.70,,
1133.4,2.70,,
1133.6,2.70,,
1133.8,2.50,,
1134,2.70,,
1134.2,2.70,,
1134.4,2.80,,
1134.6,3.00,,
1134.8,3.20,,
1135,3.80,,
1135.2,3.40,,
1135.4,2.90,,
1135.6,2.50,,
1135.8,2.20,,
1136,2.00,,
1136.2,1.80,,
1136.4,1.70,,
1136.6,2.20,,
1136.8,2.10,,
1137,2.50,,
1137.2,2.80,,
1137.4,3.10,,
1137.6,3.40,,
1137.8,3.20,,
1138,2.80,,
1138.2,2.70,,
1138.4,2.60,,
1138.6,2.70,,
1138.8,2.60,,
1139,2.90,,
1139.2,3.60,,
1139.4,3.60,,
1139.6,3.00,,
1139.8,2.30,,
1140,2.20,,
1140.2,2.30,,
1140.4,2.50,,
1140.6,2.50,,
1140.8,2.60,,
1141,2.80,,
1141.2,2.80,,
1141.4,3.20,,
1141.6,3.30,,
1141.8,3.30,,
1142,3.20,,
1142.2,2.70,,
1142.4,2.50,,
1142.6,2.30,,
1142.8,2.30,,
1143,2.60,,
1143.2,2.80,,
1143.4,3.00,,
1143.6,3.00,,
1143.8,3.20,,
1144,3.40,,
1144.2,3.40,,
1144.4,3.40,,
1144.6,3.20,,
1144.8,3.20,,
1145,3.10,,
1145.2,3.20,,
1145.4,3.40,,
1145.6,3.60,,
1145.8,3.80,,
1146,3.70,,
1146.2,3.20,,
1146.4,3.00,,
1146.6,3.00,,
1146.8,2.80,,
1147,2.80,,
1147.2,2.80,,
1147.4,3.20,,
1147.6,3.60,,
1147.8,4.00,,
1148,3.60,,
1148.2,2.90,,
1148.4,2.40,,
1148.6,2.10,,
1148.8,2.00,,
1149,2.20,,
1149.2,2.20,,
1149.4,2.50,,
1149.6,2.80,,
1149.8,3.20,,
1150,3.50,,
1150.2,3.60,,
1150.4,3.20,,
1150.6,2.80,,
1150.8,2.60,,
1151,2.60,,
1151.2,2.80,,
1151.4,2.60,,
1151.6,2.70,,
1151.8,2.80,,
1152,3.20,,
1152.2,3.60,,
1152.4,3.80,,
1152.6,3.70,,
1152.8,3.20,,
1153,2.80,,
1153.2,2.50,,
1153.4,2.40,,
1153.6,2.30,,
1153.8,2.40,,
1154,2.70,,
1154.2,3.00,,
1154.4,3.20,,
1154.6,3.20,,
1154.8,3.40,,
1155,3.50,,
1155.2,3.70,,
1155.4,3.80,,
1155.6,3.90,,
1155.8,4.00,,
1156,4.50,,
1156.2,4.60,,
1156.4,4.20,,
1156.6,4.00,,
1156.8,3.80,,
1157,3.80,,
1157.2,3.70,,
1157.4,3.60,,
1157.6,3.60,,
1157.8,3.40,,
1158,3.50,,
1158.2,3.40,,
1158.4,3.50,,
1158.6,3.60,,
1158.8,3.60,,
1159,3.70,,
1159.2,3.60,,
1159.4,3.60,,
1159.6,3.60,,
1159.8,3.70,,
1160,3.70,,
1160.2,3.90,,
1160.4,4.00,,
1160.6,4.10,,
1160.8,4.10,,
1161,4.00,,
1161.2,4.20,,
1161.4,4.10,,
1161.6,3.90,,
1161.8,3.80,,
1162,3.70,,
1162.2,3.40,,
1162.4,3.60,,
1162.6,3.50,,
1162.8,3.60,,
1163,4.00,,
1163.2,4.00,,
1163.4,4.00,,
1163.6,3.80,,
1163.8,3.90,,
1164,3.90,,
1164.2,3.80,,
1164.4,3.80,,
1164.6,3.80,,
1164.8,3.80,,
1165,3.70,,
1165.2,3.60,,
1165.4,3.50,,
1165.6,3.40,,
1165.8,3.20,,
1166,3.80,,
1166.2,3.90,,
1166.4,3.80,,
1166.6,4.00,,
1166.8,3.90,,
1167,3.80,,
1167.2,3.90,,
1167.4,3.90,,
1167.6,3.90,,
1167.8,4.00,,
1168,4.00,,
1168.2,4.00,,
1168.4,4.10,,
1168.6,4.30,,
1168.8,4.50,,
1169,4.20,,
1169.2,4.00,,
1169.4,4.00,,
1169.6,3.80,,
1169.8,3.70,,
1170,3.80,,
1170.2,4.20,,
1170.4,4.40,,
1170.6,4.60,,
1170.8,5.00,,
1171,5.20,,
1171.2,5.00,,
1171.4,4.70,,
1171.6,4.50,,
1171.8,4.50,,
1172,4.40,,
1172.2,4.40,,
1172.4,4.30,,
1172.6,4.10,,
1172.8,3.80,,
1173,4.00,,
1173.2,3.90,,
1173.4,3.90,,
1173.6,5.40,,
1173.8,5.40,,
1174,5.00,,
1174.2,5.00,,
1174.4,5.00,,
1174.6,5.00,,
1174.8,5.00,,
1175,4.80,,
1175.2,5.00,,
1175.4,4.90,,
1175.6,4.80,,
1175.8,4.80,,
1176,4.70,,
1176.2,4.80,,
1176.4,4.60,,
1176.6,4.80,,
1176.8,5.00,,
1177,5.00,,
1177.2,5.00,,
1177.4,4.80,,
1177.6,4.90,,
1177.8,5.00,,
1178,5.20,,
1178.2,5.20,,
1178.4,5.20,,
1178.6,5.10,,
1178.8,5.20,,
1179,5.40,,
1179.2,5.40,,
1179.4,5.50,,
1179.6,5.30,,
1179.8,4.90,,
1180,4.40,,
1180.2,4.40,,
1180.4,4.80,,
1180.6,5.40,,
1180.8,6.00,,
1181,6.30,,
1181.2,6.20,,
1181.4,6.10,,
1181.6,6.10,,
1181.8,6.00,,
1182,5.90,,
1182.2,5.70,,
1182.4,5.40,,
1182.6,5.20,,
1182.8,5.20,,
1183,4.80,,
1183.2,4.70,,
1183.4,4.80,,
1183.6,4.90,,
1183.8,5.10,,
1184,5.30,,
1184.2,5.20,,
1184.4,5.00,,
1184.6,4.90,,
1184.8,4.90,,
1185,5.00,,
1185.2,5.40,,
1185.4,5.80,,
1185.6,6.00,,
1185.8,5.80,,
1186,5.60,,
1186.2,5.00,,
1186.4,4.20,,
1186.6,4.10,,
1186.8,4.50,,
1187,4.70,,
1187.2,4.80,,
1187.4,5.00,,
1187.6,5.60,,
1187.8,5.90,,
1188,6.00,,
1188.2,6.20,,
1188.4,6.10,,
1188.6,6.00,,
1188.8,5.80,,
1189,6.00,,
1189.2,6.00,,
1189.4,5.50,,
1189.6,5.50,,
1189.8,5.60,,
1190,5.50,,
1190.2,5.10,,
1190.4,5.00,,
1190.6,5.00,,
1190.8,5.20,,
1191,5.60,,
1191.2,6.00,,
1191.4,6.20,,
1191.6,6.20,,
1191.8,6.10,,
1192,5.90,,
1192.2,5.90,,
1192.4,5.60,,
1192.6,5.50,,
1192.8,5.20,,
1193,5.00,,
1193.2,5.20,,
1193.4,5.60,,
1193.6,5.90,,
1193.8,6.00,,
1194,5.90,,
1194.2,5.80,,
1194.4,5.60,,
1194.6,5.40,,
1194.8,5.40,,
1195,5.30,,
1195.2,5.40,,
1195.4,5.60,,
1195.6,5.70,,
1195.8,5.50,,
1196,5.20,,
1196.2,4.80,,
1196.4,4.40,,
1196.6,4.00,,
1196.8,3.60,,
1197,3.60,,
1197.2,4.20,,
1197.4,5.20,,
1197.6,5.80,,
1197.8,4.70,,
1198,5.20,,
1198.2,5.60,,
1198.4,5.60,,
1198.6,5.50,,
1198.8,5.50,,
1199,5.60,,
1199.2,5.50,,
1199.4,5.90,,
1199.6,6.40,,
1199.8,6.20,,
1200,5.30,,
1200.2,4.40,,
1200.4,4.70,,
1200.6,5.20,,
1200.8,5.70,,
1201,6.20,,
1201.2,6.00,,
1201.4,6.20,,
1201.6,6.60,,
1201.8,6.50,,
1202,6.20,,
1202.2,6.20,,
1202.4,5.80,,
1202.6,5.10,,
1202.8,5.00,,
1203,5.80,,
1203.2,6.30,,
1203.4,6.30,,
1203.6,6.30,,
1203.8,6.40,,
1204,6.30,,
1204.2,6.20,,
1204.4,6.00,,
1204.6,5.80,,
1204.8,5.20,,
1205,4.20,,
1205.2,4.00,,
1205.4,4.60,,
1205.6,5.20,,
1205.8,5.50,,
1206,5.80,,
1206.2,6.10,,
1206.4,6.20,,
1206.6,6.50,,
1206.8,6.50,,
1207,6.20,,
1207.2,6.00,,
1207.4,5.50,,
1207.6,5.00,,
1207.8,5.00,,
1208,5.60,,
1208.2,6.00,,
1208.4,6.20,,
1208.6,6.40,,
1208.8,6.60,,
1209,6.40,,
1209.2,6.40,,
1209.4,6.80,,
1209.6,6.80,,
1209.8,6.90,,
1210,6.70,,
1210.2,6.80,,
1210.4,6.80,,
1210.6,6.70,,
1210.8,6.20,,
1211,6.00,,
1211.2,6.20,,
1211.4,6.40,,
1211.6,6.90,,
1211.8,6.80,,
1212,6.80,,
1212.2,6.60,,
1212.4,6.50,,
1212.6,6.40,,
1212.8,6.10,,
1213,6.20,,
1213.2,6.10,,
1213.4,6.20,,
1213.6,6.40,,
1213.8,6.50,,
1214,6.70,,
1214.2,6.60,,
1214.4,6.60,,
1214.6,6.70,,
1214.8,6.90,,
1215,6.90,,
1215.2,6.80,,
1215.4,6.90,,
1215.6,6.80,,
1215.8,6.50,,
1216,6.50,,
1216.2,6.60,,
1216.4,6.80,,
1216.6,6.50,,
1216.8,6.20,,
1217,6.00,,
1217.2,6.10,,
1217.4,6.20,,
1217.6,6.60,,
1217.8,6.80,,
1218,6.80,,
1218.2,6.50,,
1218.4,5.90,,
1218.6,5.40,,
1218.8,5.40,,
1219,5.40,,
1219.2,5.90,,
1219.4,6.20,,
1219.6,6.60,,
1219.8,6.50,,
1220,6.80,,
1220.2,7.10,,
1220.4,7.20,,
1220.6,7.20,,
1220.8,7.50,,
1221,7.60,,
1221.2,7.70,,
1221.4,7.50,,
1221.6,6.80,,
1221.8,5.40,,
1222,4.60,,
1222.2,5.00,,
1222.4,5.70,,
1222.6,6.60,,
1222.8,7.50,,
1223,8.30,,
1223.2,8.70,,
1223.4,8.60,,
1223.6,8.60,,
1223.8,8.50,,
1224,8.40,,
1224.2,8.30,,
1224.4,8.00,,
1224.6,8.00,,
1224.8,8.00,,
1225,8.40,,
1225.2,9.10,,
1225.4,9.80,,
1225.6,10.00,,
1225.8,8.50,,
1226,7.10,,
1226.2,6.60,,
1226.4,6.60,,
1226.6,6.60,,
1226.8,6.20,,
1227,6.00,,
1227.2,6.00,,
1227.4,6.50,,
1227.6,6.70,,
1227.8,6.80,,
1228,7.30,,
1228.2,7.90,,
1228.4,7.90,,
1228.6,7.70,,
1228.8,7.50,,
1229,7.30,,
1229.2,7.30,,
1229.4,7.80,,
1229.6,7.90,,
1229.8,7.50,,
1230,7.00,,
1230.2,6.90,,
1230.4,6.60,,
1230.6,6.30,,
1230.8,5.80,,
1231,5.00,,
1231.2,4.60,,
1231.4,4.60,,
1231.6,4.20,,
1231.8,4.20,,
1232,4.00,,
1232.2,4.00,,
1232.4,4.50,,
1232.6,5.60,,
1232.8,6.50,,
1233,7.30,,
1233.2,7.30,,
1233.4,7.10,,
1233.6,6.50,,
1233.8,5.90,,
1234,5.70,,
1234.2,5.90,,
1234.4,6.00,,
1234.6,5.80,,
1234.8,6.00,,
1235,6.60,,
1235.2,7.30,,
1235.4,7.50,,
1235.6,7.60,,
1235.8,7.50,,
1236,7.00,,
1236.2,6.60,,
1236.4,6.80,,
1236.6,7.50,,
1236.8,7.50,,
1237,7.40,,
1237.2,7.10,,
1237.4,6.30,,
1237.6,5.20,,
1237.8,4.90,,
1238,5.00,,
1238.2,6.00,,
1238.4,6.00,,
1238.6,6.00,,
1238.8,5.60,,
1239,5.50,,
1239.2,6.10,,
1239.4,7.00,,
1239.6,7.70,,
1239.8,7.70,,
1240,7.50,,
1240.2,7.50,,
1240.4,7.70,,
1240.6,7.50,,
1240.8,7.20,,
1241,7.30,,
1241.2,7.90,,
1241.4,8.10,,
1241.6,8.10,,
1241.8,7.90,,
1242,8.10,,
1242.2,9.00,,
1242.4,9.10,,
1242.6,9.40,,
1242.8,9.40,,
1243,9.30,,
1243.2,8.80,,
1243.4,8.80,,
1243.6,8.90,,
1243.8,9.00,,
1244,9.20,,
1244.2,9.60,,
1244.4,9.70,,
1244.6,9.50,,
1244.8,9.70,,
1245,9.70,,
1245.2,9.70,,
1245.4,9.50,,
1245.6,9.10,,
1245.8,9.00,,
1246,9.40,,
1246.2,8.70,,
1246.4,8.40,,
1246.6,8.10,,
1246.8,8.30,,
1247,8.50,,
1247.2,8.50,,
1247.4,8.70,,
1247.6,8.70,,
1247.8,8.60,,
1248,8.50,,
1248.2,8.40,,
1248.4,8.60,,
1248.6,8.50,,
1248.8,8.80,,
1249,8.70,,
1249.2,7.20,,
1249.4,6.40,,
1249.6,6.60,,
1249.8,7.10,,
1250,7.90,,
1250.2,8.30,,
1250.4,8.30,,
1250.6,7.80,,
1250.8,7.30,,
1251,7.30,,
1251.2,7.10,,
1251.4,7.10,,
1251.6,6.80,,
1251.8,6.70,,
1252,6.90,,
1252.2,6.70,,
1252.4,6.20,,
1252.6,6.50,,
1252.8,6.90,,
1253,7.30,,
1253.2,7.60,,
1253.4,8.00,,
1253.6,8.20,,
1253.8,8.10,,
1254,7.90,,
1254.2,7.00,,
1254.4,6.60,,
1254.6,6.20,,
1254.8,5.60,,
1255,5.20,,
1255.2,4.20,,
1255.4,4.30,,
1255.6,5.20,,
1255.8,6.50,,
1256,7.30,,
1256.2,7.70,,
1256.4,8.10,,
1256.6,8.50,,
1256.8,8.50,,
1257,9.00,,
1257.2,8.80,,
1257.4,8.90,,
1257.6,8.60,,
1257.8,8.60,,
1258,8.70,,
1258.2,8.40,,
1258.4,8.30,,
1258.6,8.10,,
1258.8,8.10,,
1259,8.10,,
1259.2,8.50,,
1259.4,8.80,,
1259.6,9.10,,
1259.8,9.20,,
1260,9.20,,
1260.2,9.50,,
1260.4,9.50,,
1260.6,9.30,,
1260.8,8.90,,
1261,8.70,,
1261.2,8.50,,
1261.4,8.40,,
1261.6,8.30,,
1261.8,8.30,,
1262,8.50,,
1262.2,8.70,,
1262.4,8.90,,
1262.6,8.90,,
1262.8,8.90,,
1263,8.30,,
1263.2,8.30,,
1263.4,8.30,,
1263.6,8.40,,
1263.8,7.90,,
1264,7.00,,
1264.2,6.70,,
1264.4,6.40,,
1264.6,6.50,,
1264.8,6.70,,
1265,6.80,,
1265.2,7.30,,
1265.4,8.30,,
1265.6,8.70,,
1265.8,9.10,,
1266,9.30,,
1266.2,9.80,,
1266.4,9.90,,
1266.6,9.90,,
1266.8,9.70,,
1267,9.10,,
1267.2,8.50,,
1267.4,7.90,,
1267.6,7.50,,
1267.8,7.60,,
1268,7.30,,
1268.2,7.40,,
1268.4,7.40,,
1268.6,7.30,,
1268.8,7.40,,
1269,7.40,,
1269.2,7.70,,
1269.4,7.90,,
1269.6,6.60,,
1269.8,6.00,,
1270,5.80,,
1270.2,5.70,,
1270.4,5.60,,
1270.6,5.60,,
1270.8,5.80,,
1271,5.90,,
1271.2,5.80,,
1271.4,6.00,,
1271.6,6.40,,
1271.8,6.30,,
1272,6.20,,
1272.2,6.00,,
1272.4,6.20,,
1272.6,6.30,,
1272.8,6.50,,
1273,6.60,,
1273.2,6.50,,
1273.4,6.80,,
1273.6,6.70,,
1273.8,6.90,,
1274,7.30,,
1274.2,7.70,,
1274.4,8.10,,
1274.6,8.40,,
1274.8,8.30,,
1275,7.60,,
1275.2,6.80,,
1275.4,6.20,,
1275.6,6.00,,
1275.8,6.50,,
1276,7.40,,
1276.2,8.30,,
1276.4,9.60,,
1276.6,10.90,,
1276.8,10.80,,
1277,9.70,,
1277.2,8.90,,
1277.4,7.60,,
1277.6,6.20,,
1277.8,5.50,,
1278,6.60,,
1278.2,6.20,,
1278.4,6.20,,
1278.6,6.60,,
1278.8,6.80,,
1279,6.90,,
1279.2,6.70,,
1279.4,6.30,,
1279.6,7.00,,
1279.8,7.20,,
1280,7.50,,
1280.2,7.80,,
1280.4,8.10,,
1280.6,9.20,,
1280.8,9.10,,
1281,9.90,,
1281.2,8.90,,
1281.4,8.30,,
1281.6,7.80,,
1281.8,6.60,,
1282,6.60,,
1282.2,7.00,,
1282.4,7.00,,
1282.6,7.10,,
1282.8,7.30,,
1283,9.10,,
1283.2,9.40,,
1283.4,9.70,,
1283.6,9.50,,
1283.8,9.10,,
1284,8.50,,
1284.2,8.20,,
1284.4,8.60,,
1284.6,9.10,,
1284.8,9.40,,
1285,9.70,,
1285.2,9.90,,
1285.4,9.70,,
1285.6,8.90,,
1285.8,7.90,,
1286,8.30,,
1286.2,9.10,,
1286.4,9.70,,
1286.6,9.90,,
1286.8,10.10,,
1287,10.30,,
1287.2,10.30,,
1287.4,10.30,,
1287.6,9.60,,
1287.8,8.60,,
1288,8.80,,
1288.2,9.30,,
1288.4,10.10,,
1288.6,10.30,,
1288.8,9.90,,
1289,9.30,,
1289.2,8.40,,
1289.4,7.90,,
1289.6,8.30,,
1289.8,8.90,,
1290,9.80,,
1290.2,10.10,,
1290.4,10.20,,
1290.6,10.10,,
1290.8,10.30,,
1291,10.10,,
1291.2,10.20,,
1291.4,10.40,,
1291.6,10.80,,
1291.8,10.60,,
1292,10.30,,
1292.2,9.70,,
1292.4,10.10,,
1292.6,10.50,,
1292.8,10.50,,
1293,9.90,,
1293.2,9.20,,
1293.4,8.90,,
1293.6,9.10,,
1293.8,8.90,,
1294,8.70,,
1294.2,8.70,,
1294.4,8.70,,
1294.6,8.90,,
1294.8,8.50,,
1295,8.50,,
1295.2,8.50,,
1295.4,8.30,,
1295.6,8.30,,
1295.8,8.50,,
1296,8.80,,
1296.2,8.90,,
1296.4,9.30,,
1296.6,9.30,,
1296.8,8.90,,
1297,9.10,,
1297.2,9.30,,
1297.4,9.30,,
1297.6,9.20,,
1297.8,9.10,,
1298,9.40,,
1298.2,10.00,,
1298.4,9.70,,
1298.6,8.90,,
1298.8,8.70,,
1299,8.60,,
1299.2,8.50,,
1299.4,8.30,,
1299.6,8.10,,
1299.8,8.10,,
1300,8.00,,
1300.2,8.30,,
1300.4,8.50,,
1300.6,8.50,,
1300.8,7.50,,
1301,6.60,,
1301.2,7.10,,
1301.4,7.90,,
1301.6,8.50,,
1301.8,9.30,,
1302,9.70,,
1302.2,9.30,,
1302.4,9.30,,
1302.6,9.30,,
1302.8,8.80,,
1303,8.50,,
1303.2,8.40,,
1303.4,8.20,,
1303.6,7.90,,
1303.8,7.80,,
1304,8.60,,
1304.2,9.40,,
1304.4,9.90,,
1304.6,10.00,,
1304.8,9.70,,
1305,9.40,,
1305.2,9.10,,
1305.4,9.50,,
1305.6,9.30,,
1305.8,8.40,,
1306,7.90,,
1306.2,8.20,,
1306.4,8.10,,
1306.6,8.40,,
1306.8,8.60,,
1307,8.70,,
1307.2,8.20,,
1307.4,7.60,,
1307.6,8.60,,
1307.8,8.50,,
1308,8.10,,
1308.2,8.60,,
1308.4,9.40,,
1308.6,9.70,,
1308.8,9.90,,
1309,9.70,,
1309.2,9.10,,
1309.4,8.90,,
1309.6,9.00,,
1309.8,9.10,,
1310,9.10,,
1310.2,8.70,,
1310.4,8.40,,
1310.6,8.70,,
1310.8,8.70,,
1311,8.50,,
1311.2,8.50,,
1311.4,8.50,,
1311.6,8.60,,
1311.8,8.60,,
1312,8.70,,
1312.2,8.90,,
1312.4,9.10,,
1312.6,9.00,,
1312.8,8.70,,
1313,8.50,,
1313.2,8.30,,
1313.4,7.90,,
1313.6,7.50,,
1313.8,7.40,,
1314,7.60,,
1314.2,8.10,,
1314.4,8.60,,
1314.6,8.70,,
1314.8,8.20,,
1315,7.50,,
1315.2,7.70,,
1315.4,7.80,,
1315.6,7.30,,
1315.8,7.50,,
1316,8.20,,
1316.2,8.30,,
1316.4,8.20,,
1316.6,7.90,,
1316.8,7.90,,
1317,7.90,,
1317.2,7.70,,
1317.4,7.70,,
1317.6,7.70,,
1317.8,7.40,,
1318,7.00,,
1318.2,6.60,,
1318.4,6.80,,
1318.6,7.30,,
1318.8,7.50,,
1319,6.60,,
1319.2,5.50,,
1319.4,5.00,,
1319.6,5.60,,
1319.8,6.20,,
1320,6.10,,
1320.2,5.60,,
1320.4,5.40,,
1320.6,6.20,,
1320.8,7.10,,
1321,7.40,,
1321.2,7.20,,
1321.4,7.00,,
1321.6,7.20,,
1321.8,7.40,,
1322,7.50,,
1322.2,7.70,,
1322.4,8.40,,
1322.6,9.10,,
1322.8,9.70,,
1323,9.70,,
1323.2,9.30,,
1323.4,9.00,,
1323.6,8.70,,
1323.8,8.60,,
1324,8.60,,
1324.2,8.60,,
1324.4,8.50,,
1324.6,8.50,,
1324.8,8.40,,
1325,8.40,,
1325.2,8.10,,
1325.4,8.10,,
1325.6,8.10,,
1325.8,8.10,,
1326,8.30,,
1326.2,8.00,,
1326.4,6.70,,
1326.6,5.30,,
1326.8,4.40,,
1327,4.40,,
1327.2,5.00,,
1327.4,5.90,,
1327.6,7.10,,
1327.8,8.30,,
1328,8.70,,
1328.2,8.50,,
1328.4,8.50,,
1328.6,8.00,,
1328.8,7.60,,
1329,7.80,,
1329.2,8.40,,
1329.4,9.00,,
1329.6,9.60,,
1329.8,9.90,,
1330,9.50,,
1330.2,8.60,,
1330.4,8.40,,
1330.6,8.10,,
1330.8,7.90,,
1331,7.70,,
1331.2,7.40,,
1331.4,7.20,,
1331.6,7.50,,
1331.8,8.10,,
1332,8.90,,
1332.2,9.50,,
1332.4,9.50,,
1332.6,9.20,,
1332.8,8.50,,
1333,7.70,,
1333.2,7.10,,
1333.4,7.30,,
1333.6,7.30,,
1333.8,7.10,,
1334,7.20,,
1334.2,7.30,,
1334.4,7.50,,
1334.6,7.50,,
1334.8,7.00,,
1335,6.40,,
1335.2,6.60,,
1335.4,6.40,,
1335.6,6.00,,
1335.8,5.90,,
1336,5.80,,
1336.2,5.40,,
1336.4,4.80,,
1336.6,4.40,,
1336.8,4.80,,
1337,6.00,,
1337.2,7.20,,
1337.4,7.30,,
1337.6,7.60,,
1337.8,7.00,,
1338,6.70,,
1338.2,6.60,,
1338.4,6.50,,
1338.6,6.40,,
1338.8,6.70,,
1339,7.10,,
1339.2,7.60,,
1339.4,8.10,,
1339.6,8.70,,
1339.8,8.50,,
1340,8.10,,
1340.2,7.90,,
1340.4,7.60,,
1340.6,7.30,,
1340.8,7.40,,
1341,7.30,,
1341.2,7.80,,
1341.4,8.30,,
1341.6,8.90,,
1341.8,9.50,,
1342,9.50,,
1342.2,9.30,,
1342.4,8.90,,
1342.6,8.50,,
1342.8,8.50,,
1343,8.80,,
1343.2,8.70,,
1343.4,8.10,,
1343.6,7.70,,
1343.8,7.50,,
1344,6.80,,
1344.2,7.30,,
1344.4,8.50,,
1344.6,9.00,,
1344.8,8.90,,
1345,8.60,,
1345.2,8.90,,
1345.4,9.20,,
1345.6,9.50,,
1345.8,9.80,,
1346,10.00,,
1346.2,9.90,,
1346.4,9.50,,
1346.6,9.20,,
1346.8,9.00,,
1347,9.10,,
1347.2,9.10,,
1347.4,9.10,,
1347.6,9.30,,
1347.8,9.30,,
1348,9.10,,
1348.2,9.10,,
1348.4,9.30,,
1348.6,9.90,,
1348.8,10.10,,
1349,10.30,,
1349.2,10.30,,
1349.4,10.20,,
1349.6,9.90,,
1349.8,9.50,,
1350,9.00,,
1350.2,8.70,,
1350.4,8.60,,
1350.6,8.80,,
1350.8,9.30,,
1351,9.80,,
1351.2,10.40,,
1351.4,10.60,,
1351.6,10.50,,
1351.8,9.90,,
1352,9.20,,
1352.2,9.30,,
1352.4,9.80,,
1352.6,10.10,,
1352.8,10.30,,
1353,10.30,,
1353.2,10.10,,
1353.4,9.50,,
1353.6,9.40,,
1353.8,9.70,,
1354,9.80,,
1354.2,9.70,,
1354.4,9.50,,
1354.6,9.40,,
1354.8,9.70,,
1355,10.10,,
1355.2,10.30,,
1355.4,10.20,,
1355.6,10.20,,
1355.8,10.30,,
1356,10.20,,
1356.2,9.80,,
1356.4,9.10,,
1356.6,8.80,,
1356.8,8.90,,
1357,9.20,,
1357.2,9.50,,
1357.4,9.90,,
1357.6,9.90,,
1357.8,9.60,,
1358,9.20,,
1358.2,9.10,,
1358.4,9.10,,
1358.6,8.70,,
1358.8,8.30,,
1359,7.90,,
1359.2,7.90,,
