OBJECTID,name,nr,Shape_Leng,Shape_Area,year
853,Unterer Riffl Kees,5091,5054.56289870665,412496.08376312200,2015
372,├Âstlicher Gr├╝bl Ferner,3023,5831.60774380847,412215.86533355700,2015
382,Westlicher Gr├╝bl Ferner W,3027,3371.09534744910,403886.14177703800,2015
303,Bockkogel Ferner W,2019,3225.09166966283,402493.96074676500,2015
631,Schweikert Ferner,7005,3948.97948565098,401140.29244995100,2015
252,Althaus Kees,6039,4680.61410263974,398937.89428710900,2015
490,Firmisan Ferner,2099,3480.10282658363,390388.40223693800,2015
521,Steiniglehn Ferner W,2090,4608.49635548305,388061.25435638400,2015
540,Mittlerer Eiskasten Ferner W,14021,3651.76244982303,385210.22501373200,2015
956,Winkl Kees,4043,3763.94001683437,381105.66108703600,2015
654,Kleinleiten Ferner,2075,2945.38304228577,378105.11766052200,2015
837,Oberer Riffl Kees,5090,4005.18767391455,376704.64025115900,2015
91,Vermunt Gletscher,21007,4840.93619709528,374221.32299804600,2015
685,Hintereisw├ñnde,2128,5924.40576670592,367072.70240402200,2015
227,N├Ârdlicher Viltragen Kees,6081,4323.67956095996,364544.97078704800,2015
181,Schattenspitz Gletscher,12011,2806.31160265819,359139.90048217700,2015
292,Klostertaler Gletscher N,12013,3851.83647751841,354036.06698989800,2015
329,Gaisskar Ferner,2039,3149.03420321368,353201.43887329100,2015
1103,Krummlkees,5038,3952.60128953611,348334.72157287500,2015
1107,Wildlahner Ferner,3002,3882.28695401272,346382.90432739200,2015
287,L├ñngentaler Ferner,1004,4404.15460766650,337577.21800994800,2015
1085,Sch├Ânach Kees M,9008,3118.71269444991,335914.53819274900,2015
414,Chalaus Ferner,13017,3566.54104092692,334770.43275451600,2015
982,Tischlerkar Kees M2,5008,3137.26860842185,331482.18368530200,2015
360,Simming Ferner W,3014,6272.29589301679,327497.94077301000,2015
416,Alpeiner Kr├ñul Ferner,3053,3666.44115067290,325974.89068603500,2015
60,Grasleiten Kees N,9041,6469.85098949148,324028.02367401100,2015
862,Klockerin Kees,5070,6049.40606122162,323488.86347198400,2015
255,Simony Kees,6045,3660.35336993322,323153.72160339300,2015
860,Kaindl Kees,5068,3293.08400990218,321026.91781616200,2015
426,Klostertaler Gletscher M,12014,3470.20975137619,320331.27853393500,2015
832,Hochweissenfeld Kees,5077,2526.12436102619,318049.39118957500,2015
240,Welitz Kees M,6034,4295.76452720322,310666.56660461400,2015
665,N├Ârdlicher Schalf Ferner,2106,3093.89573575383,308494.64245605400,2015
228,N├Ârdlicher Viltragen Kees,6081,3443.15465798444,307229.65544891300,2015
494,Glaseir Ferner,2091,2955.09935834975,306315.06037902800,2015
680,Rofenberg W,2124,2506.65464073207,305263.89021682700,2015
644,Hangerer Ferner E,2064,3139.48128569407,298014.52892303400,2015
836,Maurer Kees,5083,2942.50476466146,296023.42285919100,2015
543,Keeskar Kees,5152,3454.68222402127,294117.31474304100,2015
221,Mailfrosnitz Kees,6063,3137.05191548399,291994.99948883000,2015
1010,Grubenkar Kees,5013,3901.50739164018,287393.53288269000,2015
900,Vorderer Kasten Kees,6106,2769.24872993590,285299.35242462100,2015
