171011 80 OPL 20 PDMS 13,7 Fe 600 - 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
Overspeed at 6000 Pa;;;;;;;;;;;
;;;;;;;;;;;
shear rate;shear stress;viscosity;strain;% strain;torque;velocity;time global;time global;time;normal force;
1/s;Pa;Pa.s;;;micro N.m;rad/s;s;min;s;N;
1.24E-06;-2.21E-08;-0.01788;-1.91E-04;-0.019075;-6.66E-08;2.49E-07;1800;30;1800;5.081;
2.76E-06;-4.94E-08;-0.01788;-1.94E-04;-0.019378;-1.49E-07;5.56E-07;1810;30.2;1810;5.109;
-2.55E-06;4.55E-08;-0.01788;-1.98E-04;-0.019773;1.37E-07;-5.12E-07;1820;30.3;1820;5.068;
5.89E-06;-1.05E-07;-0.01788;-1.95E-04;-0.019497;-3.17E-07;1.19E-06;1830;30.5;1830;5.075;
-9.82E-06;1.76E-07;-0.01788;-2.04E-04;-0.02037;5.29E-07;-1.98E-06;1840;30.7;1840;5.085;
-6.98E-06;1.25E-07;-0.01788;-2.02E-04;-0.020195;3.76E-07;-1.40E-06;1850;30.8;1850;5.072;
1.20E-05;-2.14E-07;-0.01788;-1.98E-04;-0.019837;-6.46E-07;2.41E-06;1860;31;1860;5.093;
9.60E-06;1.61E-07;0.01679;-2.01E-04;-0.020053;4.86E-07;1.93E-06;1870.02;31.2;1870;5.095;
-2.04E-06;3.64E-08;-0.01787;-1.98E-04;-0.019829;1.10E-07;-4.10E-07;1880.03;31.3;1880;5.102;
-6.69E-06;1.20E-07;-0.01788;-1.97E-04;-0.019683;3.60E-07;-1.35E-06;1890.02;31.5;1890;5.11;
-7.78E-06;1.39E-07;-0.01788;-1.96E-04;-0.019584;4.19E-07;-1.57E-06;1900.01;31.7;1900;5.079;
7.78E-06;-1.39E-07;-0.01788;-2.00E-04;-0.019951;-4.19E-07;1.57E-06;1910.01;31.8;1910;5.033;
2.69E-06;-4.81E-08;-0.01788;-1.94E-04;-0.019372;-1.45E-07;5.41E-07;1920.02;32;1920;5.02;
8.65E-06;-4.03E-08;-4.66E-03;-2.03E-04;-0.02032;-1.21E-07;1.74E-06;1930.01;32.2;1930;5.022;
-2.16E-05;3.86E-07;-0.01788;-1.94E-04;-0.019384;1.16E-06;-4.35E-06;1940.01;32.3;1940;5.087;
-5.31E-06;9.49E-08;-0.01788;-1.98E-04;-0.019829;2.86E-07;-1.07E-06;1950;32.5;1950;5.083;
5.82E-07;-1.04E-08;-0.01788;-2.09E-04;-0.020934;-3.13E-08;1.17E-07;1960;32.7;1960;5.045;
-3.27E-06;5.85E-08;-0.01788;-2.01E-04;-0.020082;1.76E-07;-6.58E-07;1969.99;32.8;1970;5.067;
